No.,Name,Formula,CAS no.,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,critical-compressibility-factor,acentric-factor,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
-,-,-,-,MW,Tc,Pc,Vc,Zc,AcFa,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,K,MPa,m3/kmol,-,-,kJ/mol,kJ/mol,J/mol.K,kJ/mol
1,Acetaldehyde,C2H4O,75-07-0,44.053,466,5.55,0.154,0.221,0.2907,-166.4,-133.3,264.2,-11.045
2,Acetamide,C2H5NO,60-35-5,59.067,761,6.6,0.215,0.224,0.421,-238.3,-159.6,272.2,-10.741
3,Acetic acid,C2H4O2,64-19-7,60.052,591.95,5.786,0.177,0.208,0.4665,-461.1,-403,282.5,-7.866
4,Acetic anhydride,C4H6O3,108-24-7,102.089,606,4,0.29,0.23,0.4535,-572.5,-473.4,389.9,-16.75
5,Acetone,C3H6O,67-64-1,58.079,508.2,4.701,0.209,0.233,0.3065,-215.7,-151.3,295.4,-16.59
6,Acetonitrile,C2H3N,1975-05-08,41.052,545.5,4.83,0.173,0.184,0.3379,74.04,91.868,243.29,-11.9043
7,Acetylene,C2H2,74-86-2,26.037,308.3,6.138,0.112,0.268,0.1912,228.2,210.68,200.81,-12.57
8,Acrolein,C3H4O,107-02-8,56.063,506,5,0.197,0.234,0.3198,-81.8,-56.8,297,-15.468
9,Acrylic acid,C3H4O2,1979-10-07,72.063,615,5.66,0.208,0.23,0.5383,-355.91,-306,315,-13.2717
10,Acrylonitrile,C3H3N,107-13-1,53.063,535,4.48,0.212,0.214,0.3498,183.7,193.7,275.3,-16.9
11,Air,Mixture,132259-10-0,28.96,132.45,3.774,0.09147,0.313,0,0,0,199,0
12,Ammonia,H3N,7664-41-7,17.031,405.65,11.28,0.07247,0.242,0.2526,-45.898,-16.4,192.66,-3.1683
13,Anisole,C7H8O,100-66-3,108.138,645.6,4.25,0.337,0.267,0.3502,-67.9,22.7,361,-36.072
14,Argon,Ar,7440-37-1,39.948,150.86,4.898,0.07459,0.291,0,0,0,154.737,0
15,Benzamide,C7H7NO,55-21-0,121.137,824,5.05,0.346,0.255,0.5585,-100.9,-2.11,364.1,-33.9877
16,Benzene,C6H6,71-43-2,78.112,562.05,4.895,0.256,0.268,0.2103,82.88,129.6,269.3,-31.36
17,Benzenethiol,C6H6S,108-98-5,110.177,689,4.74,0.315,0.261,0.2628,111.5,147.6,336.9,-34.474
18,Benzoic acid,C7H6O2,65-85-0,122.121,751,4.47,0.344,0.246,0.6028,-294.1,-214.2,369,-30.951
19,Benzonitrile,C7H5N,100-47-0,103.121,699.35,4.215,0.3132,0.227,0.3662,215.7,257.8,321,-35.238
20,Benzophenone,C13H10O,119-61-9,182.218,830,3.352,0.5677,0.276,0.5019,56.8,173,440,-62.876
21,Benzyl alcohol,C7H8O,100-51-6,108.138,720.15,4.374,0.382,0.279,0.3631,-90.25,-2.54,371.3,-35.6
22,Benzyl ethyl ether,C9H12O,539-30-0,136.191,662,3.11,0.442,0.25,0.4332,-115,33.7,439,-48.3
23,Benzyl mercaptan,C7H8S,100-53-8,124.203,718,4.06,0.367,0.25,0.3126,93.3,163,360.7,-40.6
24,Biphenyl,C12H10,92-52-4,154.208,773,3.38,0.497,0.261,0.4029,178.49,276.3,393.67,-62.48
25,Bromine,Br2,7726-95-6,159.808,584.15,10.3,0.135,0.286,0.129,30.91,3.14,245.35,0
26,Bromobenzene,C6H5Br,108-86-1,157.008,670.15,4.519,0.324,0.263,0.2506,105.018,138.532,324.386,-30.1917
27,Bromoethane,C2H5Br,74-96-4,108.965,503.8,6.23,0.215,0.32,0.2548,-63.6,-25.82,287.3,-12.85
28,Bromomethane,CH3Br,74-83-9,94.939,467,8,0.156,0.321,0.1922,-37.7,-28.19,245.8,-7.0542
29,"1,2-Butadiene",C4H6,590-19-2,54.09,452,4.36,0.22,0.255,0.1659,162.3,198.6,293,-24.617
